Gene	Inheritance_model
RCDP1	AR
PBD9B	AR
IFNGR1	AD,AR
IMD27A	AD,AR
IMD27B	AD,AR
TNFAIP3	AD
A20	AD
OTUD7C	AD
AISBL	AD
PERP	AD,AR
OLMS2	AD,AR
EKVP7	AD,AR
REPS1	AR
NBIA7	AR
CITED2	AD
MRG1	AD
P35SRJ	AD
VSD2	AD
ASD8	AD
DUH1	AD,AR
DUH	AD
ADGRG6	AR
PR126	AR
VIGR	AR
LCCS9	AR
HIVEP2	AD
MRD43	AD
PEX3	AR
PBD10A	AR
PBD10B	AR
STX11	AR
FHL4	AR
HPLH4	AR
HLH4	AR
MELF	AR
EPM2	AR
GRM1	AD,AR
MGLUR1	AD,AR
GRM1A	AD,AR
SCAR13	AD,AR
SCA44	AD,AR
SASH1	AD,AR
KIAA0790	AD,AR
CAPOK	AD,AR
RCD1	AD
TAB2	AD
MAP3K7IP2	AD
KIAA0733	AD
CHTD2	AD
IYD	AR
DEHAL1	AR
TDH4	AR
RMND1	AR
COXPD11	AR
ESR1	AR
ESR	AR
ESTRR	AR
SYNE1	AD,AR
KIAA0796	AD,AR
KIAA1756	AD,AR
KIAA1262	AD,AR
SCAR8	AD,AR
EDMD4	AD,AR
AMC3	AD,AR
ARID1B	AD
BAF250B	AD
KIAA1235	AD
MRD12	AD
CSS1	AD
SERAC1	AR
MEGDEL	AR
RSPH3	AR
RSHL2	AR
RSP3	AR
CILD32	AR
DFNB38	AR
MRT28	AR
PLG	AD,AR
HAE4	AD,AR
PRKN	AR
PARK2	AR
PDJ	AR
PDE10A	AD,AR
IOLOD	AD,AR
ADSD2	AD,AR
TBXT	AR
T	AR
TFT	AR
SAVA	AR
MPC1	AR
BRP44L	AR
MPYCD	AR
RNASET2	AR
RNASE6PL	AR
SMOC2	AR
SMAP2	AR
DTDP1	AR
ERMARD	AD
C6orf70	AD
PVNH6	AD
DLL1	AD
DELTA1	AD
NEDBAS	AD
TBP	AD
SCA17	AD
HDL4	AD
HYPT10	AR
FAM20C	AR
DMP4	AR
DNAAF5	AR
HEATR2	AR
CILD18	AR
INTS1	AR
INT1	AR
KIAA1440	AR
NDCAGF	AR
MRM2	AR
FTSJ2	AR
FJH1	AR
MTDPS17	AR
LFNG	AR
SCDO3	AR
BRAT1	AR
BAAT1	AR
C7orf27	AR
RMFSL	AR
NEDCAS	AR
IQCE	AR
KIAA1023	AR
PAPA7	AR
CARD11	AD,AR
CARMA1	AD,AR
BIMP3	AD,AR
PPBL	AD,AR
BENTA	AD,AR
IMD11A	AD,AR
AP5Z1	AR
KIAA0415	AR
SPG48	AR
WIPI2	AR
IDDSSA	AR
ACTB	AD
BRWS1	AD
RNF216	AR
TRIAD3	AR
ZIN	AR
CAHH	AR
PMS2	AR
PMSL2	AR
HNPCC4	AR
MMRCS4	AR
AIMP2	AR
JTV1	AR
HLD17	AR
RAC1	AD
MRD48	AD
KDELR2	AR
ELP1	AR
OI21	AR
MDDC	AD
COXFA4	AR
NDUFA4	AR
MC4DN21	AR
TMEM106B	AD
HLD16	AD
EDSS2	AR
CRPPA	AR
ISPD	AR
MDDGA7	AR
MDDGC7	AR
LGMDR20	AR
AHR	AR
RP85	AR
TWIST1	AD
ACS3	AD
SCS	AD
CRS1	AD
SWCOS	AD
MYP17	AD
MYP4	AD
DNAH11	AR
DNAHC11	AR
CILD7	AR
DNAHBL	AR
FAM126A	AR
DRCTNNB1A	AR
HLD5	AR
KLHL7	AD,AR
RP42	AD,AR
PERCHING	AD,AR
GPNMB	AR
PLCA3	AR
GSDME	AD
DFNA5	AD
CYCS	AD
CYC	AD
THC4	AD
SNX10	AR
OPTB8	AR
HOXA1	AR
HOX1F	AR
BSAS	AR
HOXA2	AD,AR
MCOHI	AD,AR
HOXA11	AD
HOX1I	AD
RUSAT1	AD
HOXA13	AD
HOX1J	AD
HHT4	AD
FKBP14	AR
EDSKSCL2	AR
GARS1	AD
GARS	AD
SMAD1	AD
CMT2D	AD
HMN5A	AD
SMAJI	AD
GHRHR	AR
GHRFR	AR
IGHD4	AR
PDE1C	AD
HCAM3	AD
DFNA74	AD
NT5C3A	AR
NT5C3	AR
UMPH1	AR
PSN1	AR
RP9	AD
PAP1	AD
PTHB1	AR
BBS9	AR
BMPER	AR
CV2	AR
ANLN	AD
FSFS8	AD
NME8	AR
TXNDC3	AR
SPTRX2	AR
CILD6	AR
SFRP4	AR
FRPHE	AR
PYL	AR
RALA	AD
HINCONS	AD
CDK13	AD
CDC2L5	AD
CHED	AD,AR
CHDFIDD	AD
MPLKIP	AR
C7orf11	AR
ABHS	AR
TTDN1	AR
TTD4	AR
C7orf10	AR
GA3	AR
GLI3	AD
PAPA	AD
PAPB	AD
SRS2	AD
BLVRA	AD,AR
PGAM2	AR
PGAMM	AR
GSD10	AR
AEBP1	AR
ACLP	AR
GCK	AD,AR
HHF3	AD,AR
PNDM1	AD,AR
CAMK2B	AD
MRD54	AD
OGDH	AR
CCM2	AD
C7orf22	AD
MGC4067	AD
ADCY1	AR
DFNB44	AR
PKD1L1	AR
HTX8	AR
IKZF1	AD
ZNFN1A1	AD
IK1	AD
LYF1	AD
CVID13	AD
DDC	AR
CMH21	AD
NYS3	AD
EGFR	AD,AR,SM
NISBD2	AD,AR,SM
PSPH	AR
PSP	AR
PSPHD	AR
CHCHD2	AD
PARK22	AD
ANIB1	AD
EEC1	AD
GUSB	AR
MPS7	AR
ASL	AR
KCTD7	AR
EPM3	AR
CLN14	AR
SBDS	AR
SDS	AR
KIAA0442	AD
MRD26	AD
AUTS2	AD
DUP7q11.23	AD
C7DUPq11.23	AD
WBS	AD
WMS	AD
WS	AD
DEL7q11	AD
C7DELq11	AD
DNAJC30	AR
WBSCR18	AR
LHONAR	AR
MC1DN38	AR
ELN	AD
SVAS	AD
ADCL1	AD
NCF1	AR
CGD1	AR
POR	AR
MDH2	AR
DEE51	AR
HSPB1	AD
HSP27	AD
CMT2F	AD
HMN2B	AD
YWHAG	AD
DEE56	AD
ZP3	AD
ZP3A	AD
ZP3B	AD
OOMD3	AD
MAGI2	AR
AIP1	AR
KIAA0705	AR
NPHS15	AR
CD36	AR
CHDS7	AR
BDPLT10	AR
DFNB39	AR
PCLO	AR
PCH3	AR
SEMA3E	AD
SEMAH	AD
KIAA0331	AD
ABCB4	AD,AR
PGY3	AD,AR
MDR3	AD,AR
ICP3	AD,AR
ADAM22	AR
DEE61	AR
CFAP69	AR
C7orf63	AR
SPGF24	AR
AKAP9	AD
YOTIAO	AD
AKAP450	AD
LQT11	AD
KRIT1	AD
CCM1	AD
CAM	AD
GATAD1	AR
ODAG	AR
CMD2B	AR
PEX1	AR
ZWS1	AR
PBD1A	AR
PBD1B	AR
HMLR1	AR
CDK6	AR
PLSTIRE	AR
MCPH12	AR
SAMD9	AD,AR
NFTC	AD,AR
MIRAGE	AD,AR
M7MLS2	AD,AR
SAMD9L	AD
ATXPC	AD
M7MLS1	AD
COL1A2	AD,AR
EDSCV	AD,AR
EDSARTH2	AD,AR
SGCE	AD
DYT11	AD
SLC25A13	AR
CTLN2	AR
NICCD	AR
DLX5	AD,AR
SHFM1D	AD,AR
SHFM1	AD,AR
ASNS	AR
ASNSD	AR
SCA18	AD
SMNA	AD
TRRAP	AD
DEDDFA	AD
DFNA75	AD
ARPC1B	AR
ARC41	AR
IMD71	AR
CYP3A4	AD
VDDR3	AD
AP4M1	AR
SPG50	AR
CPSQ3	AR
TAF6	AR
TAF2E	AR
TAFII80	AR
ALYUS	AR
MAP11	AR
C7orf43	AR
MCPH25	AR
STAG3	AR
POF8	AR
TFR2	AR
HFE3	AR
ACTL6B	AD,AR
BAF53B	AD,AR
IDDSSAD	AD,AR
DEE76	AD,AR
EPO	AD,AR
MVCD2	AD,AR
ECYT5	AD,AR
DBAL	AD,AR
EPHB4	AD
HTK	AD
MYK1	AD
HFASD	AD
CMAVM2	AD
LMPHM7	AD
PAI1	AD,AR
PLANH1	AD,AR
SERPINE1	AD,AR
AP1S1	AR
CLAPS1	AR
AP19	AR
MEDNIK	AR
PLOD3	AR
LH3	AR
CUX1	AD
CUTL1	AD
CDP	AD
GDDI	AD
PMPCB	AR
MPPB	AR
SLC26A5	AR
PRES	AR
DFNB61	AR
RELN	AR
RL	AR
LIS2	AR
ETL7	AR
KMT2E	AD
MLL5	AD
ODLURO	AD
PUS7	AR
KIAA1897	AR
IDDABS	AR
RINT1	AR
ILFS3	AR
COG5	AR
GOLTC1	AR
GTC90	AR
CDG2I	AR
SLC26A4	AR
PDS	AR
DFNB4	AR
EVA	AR
TDH2B	AR
SLC26A3	AR
DRA	AR
CLD	AR
DFNB14	AR
DFNB17	AR
DLD	AR
LAD	AR
PHE3	AR
DLDD	AR
LAMB1	AR
LIS5	AR
PNPLA8	AR
MMLA	AR
PPP1R3A	AD
PPP1R3	AD
FOXP2	AD
SPCH1	AD
TNRC10	AD
CAGH44	AD
CAV1	AD,AR
BSCL3	AD,AR
CGL3	AD,AR
PPH3	AD,AR
LCCNS	AD,AR
MET	AR
DFNB97	AR
OSFD	AR
CFTR	AR
ABCC7	AR
CF	AR
MRP7	AR
TSPAN12	AD
NET2	AD
EVR5	AD
AASS	AR
FEZF1	AR
FEZ	AR
ZNF312B	AR
HH22	AR
SCA32	AD
PAX4	AD
MODY9	AD
KPD	AD
LEP	AR
OB	AR
LEPD	AR
RBM28	AR
ANES	AR
IMPDH1	AD
RP10	AD
LCA11	AD
OPN1SW	AD
BCP	AD
CBT	AD
FLNC	AD
FLN2	AD
ABPA	AD
ABPL	AD
MFM5	AD
MPD4	AD
CMH26	AD
RCM5	AD
TNPO3	AD
TRNSR	AD
LGMDD2	AD
SMO	AR
SMOH	AR
CRJS	AR
PHLS	AR
HYSP3	AD
MIR96	AD
MIRN96	AD
DFNA50	AD
CEP41	AR
TSGA14	AR
JBTS15	AR
BPGM	AR
ECYT8	AR
NUP205	AR
C7orf14	AR
KIAA0225	AR
NPHS13	AR
AKR1D1	AR
SRD5B1	AR
CBAS2	AR
BDPLT14	AD
DFNB13	AR
DHMN1	AD
ATP6V0A4	AR
ATP6N1B	AR
VPP2	AR
RTA1C	AR
DRTA3	AR
KIAA1549	AR
RP86	AR
TBXAS1	AR
GHOSAL	AR
CYP5	AR
BRAF	AD
NS7	AD
AGK	AR
MULK	AR
MTDPS10	AR
CATC5	AR
CTRCT38	AR
WEE2	AR
WEE1B	AR
OOMD5	AR
SSBP1	AD
SSBP	AD
OPA13	AD
PRSS1	AD
TRY1	AD
TRPV6	AR
ECAC2	AR
CAT1	AR
CATL	AR
HRPTTN	AR
CLCN1	AD,AR
GPDS1	AD
PDS1	AD
NOBOX	AD
POF5	AD
TPK1	AR
THMD5	AR
CNTNAP2	AR
CASPR2	AR
NRXN4	AR
CDFE	AR
AUTS15	AR
PTHSL1	AR
ACRPS	AD
AD10	AD
EZH2	AD
EZH1	AD
WVS	AD
KCNH2	AD
LQT2	AD
HERG	AD
SQT1	AD
CDK5	AR
LIS7	AR
ASB10	AD
GLC1F	AD
PRKAG2	AD
WPWS	AD
CMH6	AD
KMT2C	AD
MLL3	AD
KIAA1506	AD
KLEFS2	AD
XRCC2	AR
FANCU	AR
SPGF50	AR
POF17	AR
SHH	AD
HPE3	AD
HLP3	AD
SMMCI	AD
MCOPCB5	AD
LMBR1	AD,AR
ACHP	AD,AR
C7orf2	AD,AR
PPD2	AD,AR
THYP	AD,AR
LSS	AD,AR
MNX1	AD
HLXB9	AD
HOXHB9	AD
SCRA1	AD
DNAJB6	AD
MRJ	AD
DJ4	AD
LGMDD1	AD
NCAPG2	AR
CAPG2	AR
MTB	AR
3KS	AR
WDR60	AR
SRTD8	AR
SRPS6	AR
CLN8	AR
EPMR	AR
ARHGEF10	AD
KIAA0294	AD
SNCV	AD
DIH2	AR
MCPH1	AR
ANGPT2	AD
ANG2	AD,AR
LMPHM10	AD
RP1L1	AD,AR
OCMD	AD,AR
RP88	AD,AR
BLK	AD
MODY11	AD
GATA4	AD
ASD2	AD
VSD1	AD
TACHD	AD
TOF	AD
FDFT1	AR
DGPT	AR
SQSD	AR
CTSB	AD
CPSB	AD
RECEUP	AD
DFNB71	AR
MPD3	AD
TUSC3	AR
M33	AR
D8S1992	AR
MRT7	AR
MRT22	AR
FGF20	AR
RHDA2	AR
VPS37A	AR
HCRP1	AR
SPG53	AR
ASAH1	AR
AC	AR
SMAPME	AR
CSGALNACT1	AR
SDJLABA	AR
LPL	AD,AR
LIPD	AD,AR
HDLCQ11	AD,AR
ATP6V1B2	AD
ATP6B2	AD
DOOD	AD
ZLS2	AD
FGF17	AD
HH20	AD
HR	AR
AU	AR
MUHH1	AR
HRURF	AD
U2HR	AD
SFTPC	AD
SFTP2	AD
SMDP2	AD
BMP1	AR
OI13	AR
SLC39A14	AD,AR
ZIP14	AD,AR
KIAA0062	AD,AR
HMNDYT2	AD,AR
HCIN	AD,AR
RHOBTB2	AD
DBC2	AD
KIAA0717	AD
DEE64	AD
TNFRSF10B	AR
DR5	AR
TRAILR2	AR
NEFL	AD,AR
CMT2E	AD,AR
CMT1F	AD,AR
CMTDIG	AD,AR
GNRH1	AR
LNRH	AR
HH12	AR
CHRNA2	AD
SPG37	AD
ESCO2	AR
RBS	AR
JHS	AR
EXTL3	AR
EXTR1	AR
ISDNA	AR
GTF2E2	AR
TTD6	AR
GSR	AR
GSRD	AR
TEX15	AR
SPGF25	AR
RECQL2	AR
RECQ3	AR
WRN	AR
TTI2	AR
C8orf41	AR
MRT39	AR
ERLIN2	AR
SPFH2	AR
C8orf2	AR
SPG18	AR
PLPBP	AR
PROSC	AR
EPVB6D	AR
STAR	AR,XD
DDHD2	AR
KIAA0725	AR
SPG54	AR
FGFR1	AD
FLT2	AD
OGD	AD
KAL2	AD
HH2	AD
HRTFDS	AD
ECCL	AD
ADAM9	AR
MDC9	AR
MCMP	AR
CORD9	AR
ANK1	AD,AR
SPH1	AD,AR
KAT6A	AD
MYST3	AD
MOZ	AD
ZNF220	AD
ARTHS	AD
IKBKB	AD,AR
NFKBIKB	AD,AR
IMD15B	AD,AR
IMD15A	AD,AR
SLC20A2	AD
MLVAR	AD
GLVR2	AD
IBGC1	AD
IBGC2	AD
THAP1	AD
DYT6	AD
RNF170	AD
SNAX1	AD
POMK	AR
SGK196	AR
MDDGA12	AR
MDDGC12	AR
HGSNAT	AR
TMEM76	AR
MPS3C	AR
RP73	AR
CCAL1	AD
PAFC	AD
GCCD3	AR
FGD3	AR
GCCD2	AR
PRKDC	AR
HYRC1	AR
DNPK1	AR
IMD26	AR
MCM4	AR
NKGCD	AR
NKCD	AR
IMD54	AR
SNAI2	AD,AR
SLUG	AD,AR
WS2D	AD,AR
SOX17	AD
VUR3	AD
RP1	AD,AR
ORP1	AD,AR
PLAG1	AD
SGPA	AD
PSA	AD
SRS4	AD
IMPAD1	AR
GPAPP	AR
IMPA3	AR
CA8	AR
CALS	AR
CARP	AR
CAMRQ3	AR
DEL8q12q21	AD
C8DELq12q21	AD
HDCPH1	AD
CHD7	AD
HH5	AD
ASPH	AR
HAAH	AR
FDLAB	AR
TTPA	AR
TTP1	AR
AVED	AR
CYP7B1	AR
CBAS3	AR
SPG5A	AR
CMT2H	AR
DEL8q13	AD
C8DELq13	AD
DURS1	AD
DUS	AD
FEB1	AD
CSPP1	AR
CSPP	AR
JBTS21	AR
CPA6	AD,AR
CPAH	AD,AR
ETL5	AD,AR
FEB11	AD,AR
EYA1	AD
BOR	AD
BOS1	AD
DEL8q21.11	AD
C8DELq21.11	AD
OPA6	AR
TRPA1	AD
ANKTM1	AD
FEPS1	AD
TMEM70	AR
MC5DN2	AR
JPH1	AD,AR
JP1	AD,AR
CMT2K	AD,AR
GDAP1	AD,AR
CMT4A	AD,AR
CMTRIA	AD,AR
ZFHX4	AD
ZFH4	AD
PEX2	AR
PAF1	AR
PMP35	AR
PBD5A	AR
PBD5B	AR
PXMP3	AR
MRPS28	AR
MRPS35	AR
COXPD47	AR
PMP2	AD
CMT1G	AD
IMPA1	AR
MRT59	AR
CA2	AR
CNGB3	AR
ACHM3	AR
ACHM1	AR
NBN	AR
NBS1	AR
OTUD6B	AR
DUBA5	AR
IDDFSDA	AR
DUP8q22.1	AD
C8DUPq22.1	AD
HTC1	AD
NMLFS	AD
DEL8q22.1	AD
C8DELq22.1	AD
FAM92A	AR
FAM92A1	AR
PAPA9	AR
TMEM67	AR
MKS3	AR
JBTS6	AR
NPHP11	AR
PDP1	AR
PPM2C	AR
PDPC	AR
ESRP1	AR
RMB35A	AR
DFNB109	AR
INTS8	AR
INT8	AR
NEDCHS	AR
NDUFAF6	AR
C8orf38	AR
MC1DN17	AR
FRTS5	AR
CFAP418	AR
C8orf37	AR
CORD16	AR
RP64	AR
BBS21	AR
GDF6	AD,AR
MCOP4	AD,AR
KFS1	AD,AR
MCOPCB6	AD,AR
LCA17	AD,AR
SYNS4	AD,AR
UQCRB	AR
UQBP	AR
MC3DN3	AR
PTDSS1	AD
KIAA0024	AD
LMHD	AD
POP1	AR
ANXD2	AR
VPS13B	AR
KIAA0532	AR
COH1	AR
SPAG1	AR
CILD28	AR
GRHL2	AD,AR
TFCP2L3	AD,AR
DFNA28	AD,AR
ECTDS	AD,AR
PPCD4	AD,AR
RRM2B	AD,AR
P53R2	AD,AR
PEOA5	AD,AR
MTDPS8A	AD,AR
MTDPS8B	AD,AR
FZD6	AR
NDNC1	AR
SLC25A32	AR
MFT	AR
GLYB	AR
RREI	AR
RIMS2	AR
KIAA0751	AR
RIM2	AR
OBOE	AR
CRSDS	AR
DPYS	AR
DHP	AR
LRP12	AD
MIG13A	AD
HT	AD
MGS	AD,AR
ZFPM2	AD
FOG2	AD
DIH3	AD
SRXY9	AD
OXR1	AR
CHEGDD	AR
ANGPT1	AD
ANG1	AD
HAE5	AD
RSPO2	AR
CRISTIN2	AR
TETAMS2	AR
HHRRD	AR
TRHR	AR
CHNG7	AR
TRPS1	AD
ECA1	AD
THM	AR
TRPS2	AD
LGCR	AD
LGS	AD
RAD21	AD,AR
SCC1	AD,AR
NXP1	AD,AR
KIAA0078	AD,AR
CDLS4	AD,AR
EXT1	AD,SM
SAMD12	AD
TNFRSF11B	AR
OPG	AR
OCIF	AR
PDB5	AR
COLEC10	AR
CLL1	AR
3MC3	AR
TAF2	AR
TAF2B	AR
TAFII150	AR
CIF150	AR
MRT40	AR
PPKP1B	AD
NDUFB9	AR
UQOR22	AR
MC1DN24	AR
WASHC5	AD,AR
KIAA0196	AD,AR
SPG8	AD,AR
RTSC1	AD,AR
NSMCE2	AR
NSE2	AR
MMS21	AR
KCNQ3	AD
EBN2	AD
BFNC2	AD
LRRC6	AR
LRTP	AR
CILD19	AR
TG	AR
AITD3	AR
TDH3	AR
NDRG1	AR
HMSNL	AR
CMT4D	AR
TRAPPC9	AR
NIBP	AR
KIAA1882	AR
MRT13	AR
AGO2	AD
EIF2C2	AD
LESKRES	AD
SLURP1	AR
MDM	AR
CYP11B1	AD,AR
P450C11	AD,AR
FHI	AD,AR
CYP11B2	AR
GPIHBP1	AR
HYPL1D	AR
MAFA	AD
RIPE3B1	AD
INSDM	AD
FAM83H	AD
AI3A	AD
PUF60	AD
FIR	AD
SIAHBP1	AD
VRJS	AD
PLEC1	AD,AR
PLEC	AD,AR
PLTN	AD,AR
EBS1	AD,AR
LGMDR17	AD,AR
EBSOG	AD,AR
EBSPA	AD,AR
EBSMD	AD,AR
EBSND	AD,AR
OPLAH	AD,AR
OPLAHD	AD,AR
GPAA1	AR
GAA1	AR
GPIBD15	AR
CYC1	AR
MC3DN6	AR
DGAT1	AR
ARGP1	AR
DIAR7	AR
SLC52A2	AR
GPR172A	AR
GPCR41	AR
PAR1	AR
FLJ11856	AR
BVVLS2	AR
CPSF1	AD
CPSF160	AD
MYP27	AD
SLC39A4	AR
ZIP4	AR
TONSL	AR
NFKBIL2	AR
IKBR	AR
SEMDSP	AR
RECQL4	AR
RTS	AR
RECQ4	AR
DEL9p	AD
C9DELp	AD
MRD2	AD
DOCK8	AR
SMARCA2	AD
SNF2L2	AD
NCBRS	AD
BIS	AD
VLDLR	AR
CAMRQ1	AR
KCNV2	AR
KV11.1	AR
RCD3B	AR
GLIS3	AR
ZNF515	AR
NDH	AR
SLC1A1	AR
EAAC1	AR
SCZD18	AR
DCBXA	AR
JAK2	AD,SM
THCYT3	AD,SM
RIC1	AR
CIP150	AR
KIAA1432	AR
CATIFA	AR
GLDC	AR
HYGN1	AR
GCSP	AR
DFNB83	AD,AR
FRDA2	AR
MRT16	AR
TYRP1	AR
CAS2	AR
GP75	AR
SHEP11	AR
MPDZ	AR
MUPP1	AR
HYC2	AR
NFIB	AD
MACID	AD
DFNA47	AD
LALL	AR
FREM1	AD,AR
C9orf154	AD,AR
BNAR	AD,AR
MOTA	AD,AR
TRIGNO2	AD,AR
BNC2	AD
LUTO	AD
MTAP	AD
DMSMFH	AD
PLAA	AR
PLAP	AR
NDMSBA	AR
IFT74	AR
CCDC2	AR
CMG1	AR
BBS20	AR
TEK	AD
TIE2	AD
VMCM	AD
GLC3E	AD
C9orf72	AD
FTDALS1	AD
FTDALS	AD
ALSFTD	AD
DDX58	AD
RIGI	AD
SGMRT2	AD
APTX	AR
AOA	AR
AOA1	AR
B4GALT1	AR
GGTB2	AR
GT1	AD,AR
GTB	AR
CDG2D	AR
UBAP1	AD
UBAP	AD
SPG80	AD
MYORG	AR
NET37	AR
KIAA1161	AR
IBGC7	AR
DNAI1	AR
CILD1	AR
ICS	AR
PCD	AR
SIGMAR1	AR
SRBP	AR
ALS16	AR
DSMA2	AR
GALT	AR
IL11RA	AR
CRSDA	AR
VCP	AD
IBMPFD1	AD
CMT2Y	AD
FTDALS6	AD
XRCC9	AR
FANCG	AR
PIGO	AR
HPMRS2	AR
RUSC2	AR
KIAA0375	AR
IPORIN	AR
MRT61	AR
RMRP	AR
RMRPR	AR
CHH	AR
TPM2	AD
TMSB	AD
AMCD1	AD
DA1	AD
DA2B4	AD
NEM4	AD
GBA2	AR
KIAA1605	AR
SPG46	AR
NPR2	AD,AR
ANPRB	AD,AR
AMDM	AD,AR
ECDM	AD,AR
SNSK	AD,AR
GNE	AD,AR
GLCNE	AD,AR
IBM2	AD,AR
NM	AD,AR
GRHPR	AR
GLXR	AR
EXOSC3	AR
RRP40	AR
PCH1B	AR
OTSC8	AD
ACP	AR
MROS	AD
SPG19	AD
CMD1B	AD
CMPD1	AD
FDC	AD
GSM1	AD
GSP	AD
DFNA51	AD
C9DUPq21.11	AD
DUP9q21.11	AD
ETL4	AD
ETOLM	AD
PRKACG	AR
BDPLT19	AR
FXN	AR
FRDA	AR
FARR	AR
X25	AR
TJP2	AR
ZO2	AR
PFIC4	AR
FHCA1	AR
MIR204	AD
MIRN204	AD
RDICC	AD
TMC1	AD,AR
DFNB7	AD,AR
DFNB11	AD,AR
DFNA36	AD,AR
TRPM6	AR
CHAK2	AR
HOMG1	AR
VPS13A	AR
CHAC	AR
CEP78	AR
CRDHL	AR
PSAT1	AR
PSAT	AR
EPIP	AR
PSATD	AR
NLS2	AR
FHL1	AR,XD,XL,XR
HPLH1	AR
HLH1	AR
HNRNPK	AD
HNRPK	AD
AUKS	AD
NTRK2	AD
TRKB	AD
OBHD	AD
DEE58	AD
AGTPBP1	AR
NNA1	AR
KIAA1035	AR
CONDCA	AR
ISCA1	AR
HBLD2	AR
HISCA	AR
MMDS5	AR
SECISBP2	AR
SBP2	AR
SYK	AD
IMD82	AD
AUH	AR
ROR2	AD,AR
BDB1	AD,AR
BDB	AD,AR
NTRKR2	AD,AR
SPTLC1	AD
LBC1	AD
SPT1	AD
HSN1	AD
HSAN	AD
IARS1	AR
IARS	AR
GRIDHH	AR
BICD2	AD
KIAA0699	AD
SMALED2A	AD
SMALED2B	AD
FBP1	AR
FANCC	AR
FACC	AR
PTCH1	AD
NBCCS	AD
BCNS	AD
HPE7	AD
ERCC6L2	AR
RAD26L	AR
BMFS2	AR
HSD17B3	AR
EDH17B3	AR
TDRD7	AR
KIAA1529	AR
TRAP	AR
CATC4	AR
CTRCT36	AR
XPA	AR
XPAC	AR
FOXE1	AR
FKHL15	AR
TITF2	AR
TTF2	AR
NMTC4	AR
NANS	AR
SAS	AR
SEMDCG	AR
GABBR2	AD
GPR51	AD
DEE59	AD
NDPLHS	AD
ANKS6	AR
PKDR1	AR
NPHP16	AR
TGFBR1	AD
ALK5	AD
AAT5	AD
LDS1	AD
MSSE	AD
ALG2	AR
CDGII	AR
CMSTA3	AR
CMS14	AR
CHDT3	AD
INVS	AR
INV	AR
NPHP2	AR
NPH2	AR
BAAT	AR
HCHO	AR
BACD1	AR
ALDOB	AR
ABCA1	AR
ABC1	AR
HPALP1	AR
TGD	AR
HDLCQTL13	AR
SLC44A1	AR
CTL1	AR
CDW92	AR
CONATOC	AR
FKTN	AR
FCMD	AR
CMD1X	AR
LGMDR13	AR
MDDGA4	AR
MDDGB4	AR
MDDGC4	AR
ZNF462	AD
KIAA1803	AD
WSKA	AD
IKBKAP	AR
IKAP	AR
FRRS1L	AR
C9orf4	AR
CG6	AR
DEE37	AR
MUSK	AR
CMS9	AR
FADS1	AR
PRPF4	AD
PRP4	AD
HPRP4	AD
RP70	AD
ALAD	AR
ALADH	AR
PBGS	AR
COL27A1	AR
KIAA1870	AR
STLS	AR
WHRN	AR
CIP98	AR
KIAA1526	AR
DFNB31	AR
USH2D	AR
TNC	AD
HXB	AD
DFNA56	AD
TRIM32	AR
HT2A	AR
LGMDR8	AR
BBS11	AR
CDK5RAP2	AR
KIAA1633	AR
MCPH3	AR
C5	AR
C5D	AR
ECLZB	AR
GSN	AD
NDUFA8	AR
MC1DN37	AR
CRB2	AR
FSGS9	AR
VMCKD	AR
NR5A1	AD
FTZF1	AD
FTZ1	AD
SF1	AD
AD4BP	AD
POF7	AD
SRXY3	AD
SPGF8	AD
SRXX4	AD
RPL35	AD
DBA19	AD
LMX1B	AD
NPS1	AD
FSGS10	AD
LRSAM1	AD,AR
TAL	AD,AR
RIFLE	AD,AR
CMT2P	AD,AR
DYT23	AD
KTCN6	AD
STXBP1	AD
UNC18	AD
DEE4	AD
ENG	AD
END	AD
HHT1	AD
ORW	AD
AK1	AR
DPM2	AR
CDG1U	AR
DNM1	AD
DEE31	AD
COQ4	AR
COQ10D7	AR
SLC27A4	AR
FATP4	AR
IPS	AR
GLE1	AR
GLE1L	AR
LCCS	AR
LCCS1	AR
CAAHD	AR
SPTAN1	AD
NEAS	AD
DEE5	AD
WDR34	AR
SRTD11	AR
SET	AD
MRD58	AD
LRRC8A	AD
KIAA1437	AD
AGM5	AD
DOLK	AR
TMEM15	AR
DK1	AR
SEC59	AR
KIAA1094	AR
CDG1M	AR
NUP188	AR
KIAA1069	AR
SANDSTEF	AR
CRAT	AR
NBIA8	AR
DYT1	AD,AR
TOR1A	AD,AR
AMC5	AD,AR
ASS1	AR
ASS	AR
PRDM12	AR
HSAN8	AR
EXOSC2	AR
RRP4	AR
SHRF	AR
ABL1	AD,SM
CHDSKM	AD,SM
LAMC3	AR
OCCM	AR
POMT1	AR
MDDGA1	AR
MDDGB1	AR
MDDGC1	AR
LGMDR11	AR
MED27	AR
CRSP8	AR
CRAP34	AR
NEDSCAC	AR
NTNG2	AR
NEDBASH	AR
SETX	AD,AR
SCAN2	AD,AR
AOA2	AD,AR
ALS4	AD,AR
TSC1	AD
LAM	AD
GFI1B	AD,AR
BDPLT17	AD,AR
CEL	AD
BSSL	AD
CELL	AD
MODY8	AD
SURF1	AR
CMT4K	AR
MC4DN1	AR
ADAMTS13	AR
VWFCP	AR
TTP	AR
MYMK	AR
TMEM8C	AR
ADAMTSL2	AR
KIAA0605	AR
GPHYSD1	AR
DBH	AR
ORTHYP1	AR
