Gene	Inheritance_model
NPHS23	AR
SPTA1	AD,AR
EL2	AD,AR
SPH3	AD,AR
HS3	AD,AR
HPP	AD,AR
PIGM	AR
KCNJ10	AR
SESAME	AR
ATP1A2	AD
FHM2	AD
MHP2	AD
CASQ1	AD
VMCQA	AD
DCAF8	AD
WDR42A	AD
GAN2	AD
PEX19	AR
PXF	AR
HK33	AR
D1S2223E	AR
PBD12A	AR
NCSTN	AD
VANGL2	AD
LTAP	AD
NECTIN 4	AR
PVRL4	AR
PRR4	AR
EDSS1	AR
UFC1	AR
NEDSG	AR
PPOX	AD
NDUFS2	AR
MC1DN6	AR
MPZ	AD,AR
CMT1B	AD,AR
CMTDID	AD,AR
DSS	AD,AR
CHN2	AD,AR
SDHC	AD
PGL3	AD
FCGR3A	AR
CD16	AR
IGFR3	AR
IMD20	AR
ATF6	AR
ACHM7	AR
NOS1AP	AR
CAPON	AR
KIAA0464	AR
NPHS22	AR
DDR2	AD,AR
NTRKR3	AD,AR
TKT	AD,AR
WRCN	AD,AR
PBX1	AD
CAKUHED	AD
LMX1A	AD
LMX1	AD
DFNA7	AD
TMCO1	AR
CFSMR	AR
CD247	AR
CD3Z	AR
TCRZ	AR
IMD25	AR
TBX19	AR
SLC19A2	AR
THTR1	AR
TRMA	AR
THMD1	AR
F5	AD,AR
THPH2	AD,AR
RPRGL1	AD,AR
GORAB	AR
SCYL1BP1	AR
NTKLBP1	AR
GO	AR
PRRX1	AD,AR
PMX1	AD,AR
PHOX1	AD,AR
AGOTC	AD,AR
FMO3	AR
TMAU	AR
MYOC	AD
TIGR	AD
GLC1A	AD
JOAG	AD
GPOA	AD
PIGC	AR
GPI2	AR
GPIBD16	AR
MRT62	AR
FASLG	AD
TNFSF6	AD
APT1LG1	AD
FASL	AD
ALPS1B	AD
DARS2	AR
ASPRS. LBSL	AR
SERPINC1	AD,AR
AT3	AD,AR
AT3D	AD,AR
THPH7	AD,AR
MRPS14	AR
COXPD38	AR
PDCN	AR
NPHS2	AR
SRN1	AR
TOR1AIP1	AR
LAP1	AR
LAP1B	AR
LGMD2Y	AR
LHX4	AD
CPHD4	AD
XPR1	AD
SYG1	AD
IBGC6	AD
CACNA1E	AD
CACNL1A6	AD
DEE69	AD
GLUL	AR
GLNS	AR
RNASEL	AD
RNS4	AD
PRCA1	AD
HPC1	AD
LAMC2	AR
